original_sentence,dialect_city_id,dialect_province_id,dialect_country_id,dialect_region_id,dataset_name
أشمعنى المصرى الوحيد اللى بيحوطوا أمامه عقبات,,,eg,nile_basin,aoc
طبعا مش ممكن,,,eg,nile_basin,aoc
ارجع بقى يا ميدو مكانك محفوظ مع اخوانك في الزبالك محتاجين صحتك في الخناقات القادمة قصدي الماتشات القادمة كفانا سخرية من اللي يسوى و اللي ميسواش,,,eg,nile_basin,aoc
او نرمي التلفزيون احسن عشان خاطر ابراهيم حسن و . . . مرتضي منصورو . . . شوبير . . . والاشخاص التي من هذه النوعية,,,eg,nile_basin,aoc
ومثال على ذلك . . ما يحدث كل ليلة فى منطقة السيد البدوى . . وبالتحديد بجوار مسجد البهى حيث بيع وشراء وشرب كل انواع المخدرات . . وتثبيت اهالى المنطقة وسرقتهم بالاكراه . . فهل يوجد امن بجد فى بلدنا,,,eg,nile_basin,aoc
يبدو إن سيادة الدكتور كمال الشاذلي أكل مال يتيم بدعا عليه ، لذلك تسبب له في عسر هضم شديد .,,,eg,nile_basin,aoc
"طول عمري حاسس اننا وقعنا في وسط شوية نصابين بداية من وزير المالية بفرض الضرائب التى يستولي بها على الأموال من جيب الشعب الغلبان , مرورا بفاتورة التليفون وفاتورة الكهرباء وفاتورة المياه وفاتورة الغاز الخ",,,eg,nile_basin,aoc
هيكون المنتهي,,,eg,nile_basin,aoc
ربنا مبيسيبش حد بيظلم حد وشوبير افترى جدا وفكر نفسو فوق اى حد وفوق اى حساب,,,eg,nile_basin,aoc
هما الى مدوا إديهم على الأمن الأول,,,eg,nile_basin,aoc
الأهلى : أنت عارف كان الحضرى أحسن حارس فى افريقيا حتى الأن رجع برغم الحاجة الماسة لوجودة . الأسماعيلى : طبعا مستحيل . الزمالك : الدلع خلص شوف هانى سعيد أحسن ليبرو فى مصر الان بيحصلة اية لما ادلع . أندية البترول والقوات المسلحة : معندهاش هزار ولا دلع . انسى ورتب لمباراة اعتزالك ياخسارة يا ابراهيم كان ممكن تكون حاجة كبيرة جدا جدا .,,,eg,nile_basin,aoc
بس عاوز اسالكم سؤال مهم ؟ ؟ ؟,,,eg,nile_basin,aoc
واللى مش عايزهم يطالبوا بيه يبقى خاين,,,eg,nile_basin,aoc
ولا الناس دى وجاهة وبيزنس . . . السفارة الامريكية لو فى قطة امريكاني حصل لها حاجة مابتسكتشس ! !,,,eg,nile_basin,aoc
ضربة الجزاء مفيش فيها اي صحة . . بس عشان احنا بنفهم وعارفين ان الغلطات دي مش مقصودة من الحكام قلنا عادي . . بس ورينا للناس ان الغلطة اهي . .,,,eg,nile_basin,aoc
يااما بيكره النادي وده معروفين ( الزبالكاوية ),,,eg,nile_basin,aoc
