dataset_name	data_annotation_method	data_source	source	lexicon_corpus	split_original_manual	list_dialect_city_id	list_dialect_province_id	list_dialect_country_id	list_dialect_region_id	len_train	len_test	len_dev	train_city_details	train_province_details	train_country_details	train_region_details	test_city_details	test_province_details	test_country_details	test_region_details	dev_city_details	dev_province_details	dev_country_details	dev_region_details
aoc	['mechanical_turk_annotators']	['news_comments']	https://www.cis.upenn.edu/~ccb/data/AOC-dialectal-annotations.zip	corpus	manual	['msa', nan]	['msa', nan]	['msa', nan, 'eg']	['msa', 'gulf', 'nile_basin', 'levant']	86129	10771	10765	msa    50616	msa    50616	msa    50616, eg     10021	msa           50616, gulf          16412, nile_basin    10021, levant         9080	msa    6330	msa    6330	msa    6330, eg     1254	msa           6330, gulf          2052, nile_basin    1254, levant        1135	msa    6327	msa    6327	msa    6327, eg     1252	msa           6327, gulf          2051, nile_basin    1252, levant        1135
arabic_multi_dialect_text_corpora	['word_level']	['web_mixed']	http://almeman.weebly.com/arabic-multi-dialect-text-corpora.html	corpus	manual	[nan]	[nan]	[nan, 'eg']	['levant', 'gulf', 'maghreb', 'nile_basin']	4146594	518328	518323			eg    1012736	gulf          1383625, nile_basin    1012736, levant         914678, maghreb        835555			eg    126593	gulf          172954, nile_basin    126593, levant        114336, maghreb       104445			eg    126592	gulf          172953, nile_basin    126592, levant        114334, maghreb       104444
arap_tweet	['user_level']	['twitter']	https://www.aclweb.org/anthology/L18-1111/	corpus	manual	[nan]	[nan]	['tn', 'dz', 'sa', 'ae', 'lb, sy', 'ly', 'om', 'sd', 'kw', 'ye', 'qa', 'ps,jo', 'eg', 'ma', 'iq']	['maghreb', 'gulf', 'levant', 'nile_basin', 'gulf_aden', 'iraq']	1285779	160734	160717			ly        115616, kw        113013, sa        109979, eg        107211, ps,jo      98163, qa         92620, om         91495, iq         80138, ae         79767, lb, sy     73984, ma         73598, tn         67114, ye         66104, dz         60969, sd         56008	gulf          486874, maghreb       317297, levant        172147, nile_basin    163219, iraq           80138, gulf_aden      66104			ly        14452, kw        14128, sa        13748, eg        13402, ps,jo     12271, qa        11578, om        11438, iq        10018, ae         9972, lb, sy     9249, ma         9201, tn         8390, ye         8263, dz         7622, sd         7002	gulf          60864, maghreb       39665, levant        21520, nile_basin    20404, iraq          10018, gulf_aden      8263			ly        14452, kw        14126, sa        13747, eg        13401, ps,jo     12270, qa        11577, om        11436, iq        10017, ae         9970, lb, sy     9248, ma         9199, tn         8389, ye         8263, dz         7621, sd         7001	gulf          60856, maghreb       39661, levant        21518, nile_basin    20402, iraq          10017, gulf_aden      8263
curras	['manual_search']	['web_mixed']	https://link.springer.com/article/10.1007/s10579-016-9370-7#Tab1	corpus	original	[nan]	[nan]	['ps']	['levant']	4005	620	644			ps    4005	levant    4005			ps    620	levant    620			ps    644	levant    644
gumar	['document_level']	['forum_novel']	https://camel.abudhabi.nyu.edu/gumar/?page=publications&lang=en	corpus	original	[nan]	[nan]	['gulf', 'sa', 'msa', 'kw', 'ae', 'qa', 'ye', 'bh', 'ma', 'gulf,mixed', 'om', 'ae,sa', 'eg', 'sa,msa', 'msa,levant', nan, 'ps', 'iq', 'sa,kw', 'kw,sa', 'gulf,sd,msa', 'sa,ae', 'gulf,lb', 'bh,sa', 'ae,sa,kw', 'sa,lb', 'sa,levant']	['gulf', 'msa', 'gulf_aden', 'maghreb', 'nile_basin', 'levant', 'iraq']	6575888	1529770	991716			sa      4456263, ae       729635, gulf     530167, kw       400281, msa      223731, om       120424, qa        86379, bh        29008	gulf    6352157, msa      223731			sa      1002267, gulf     198274, msa      121618, ae        98828, kw        90280, om         8519, bh         6717, qa         3267	gulf    1408152, msa      121618			sa      635756, gulf    138832, ae      111458, kw       51814, msa      28883, om       18059, qa        5959, bh         955	gulf    962833, msa      28883
habibi	['user_level']	['song_lyrics']	https://www.aclweb.org/anthology/2020.lrec-1.165/	corpus	manual	[nan]	[nan]	['eg', 'sa', 'iq', 'sd', 'kw', 'lb', 'ae', 'ma', 'sy', 'ps', 'tn', 'ye', 'bh', 'om', 'jo', 'dz', 'ly', 'qa']	['nile_basin', 'gulf', 'iraq', 'levant', 'maghreb', 'gulf_aden']	288243	61767	61766			eg    72486, sa    51555, lb    39636, iq    39202, sd    26756, kw    14858, sy    12002, ae    11335, ma     6085, ye     3014, tn     2947, jo     2237, dz     1630, qa     1599, bh     1429, om      675, ps      550, ly      247	nile_basin    99242, gulf          81451, levant        54425, iraq          39202, maghreb       10909, gulf_aden      3014			eg    15483, sa    10927, iq     8412, lb     8394, sd     5855, kw     3222, sy     2664, ae     2402, ma     1303, ye      657, tn      637, jo      484, qa      358, dz      348, bh      304, om      144, ps      128, ly       45	nile_basin    21338, gulf          17357, levant        11670, iraq           8412, maghreb        2333, gulf_aden       657			eg    15552, sa    11046, lb     8472, iq     8345, sd     5720, kw     3231, sy     2604, ae     2428, ma     1327, ye      658, tn      629, jo      449, qa      346, dz      324, bh      308, om      146, ps      123, ly       58	nile_basin    21272, gulf          17505, levant        11648, iraq           8345, maghreb        2338, gulf_aden       658
ldc_ara_dialect_eng_para_2012_t09	['mechanical_turk_annotators']	['web_mixed']	https://catalog.ldc.upenn.edu/LDC2012T09	corpus	manual	[nan]	[nan]	['eg', nan]	['nile_basin', 'levant']	140927	17618	17615			eg    30521	levant        110406, nile_basin     30521			eg    3816	levant        13802, nile_basin     3816			eg    3815	levant        13800, nile_basin     3815
ldc_arb_gulf_cttr_2006_t15	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T15	corpus	original	[nan]	[nan]	['ae', 'sa', 'om']	['gulf']	56877	1510	0			sa    34261, ae    15047, om     7569	gulf    56877			sa    736, ae    388, om    386	gulf    1510				
ldc_arb_iraq_cttr_2006_t16	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T16	corpus	original	[nan]	['south_iraq', 'baghdad', 'north_iraq']	['iq']	['iraq']	25371	1635	0		baghdad       15849, south_iraq     5970, north_iraq     3552	iq    25371	iraq    25371		baghdad       838, north_iraq    406, south_iraq    391	iq    1635	iraq    1635				
ldc_arb_lev_cttr_2007_t01	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2007T01	corpus	original	[nan]	[nan]	['jo', 'ps', 'lb', 'sy']	['levant']	58986	1480	0			ps    15592, lb    14698, sy    14505, jo    14191	levant    58986			jo    376, sy    374, ps    369, lb    361	levant    1480				
