dataset_name	data_annotation_method	data_source	source	lexicon_corpus	split_original_manual	list_dialect_city_id	list_dialect_province_id	list_dialect_country_id	list_dialect_region_id
aoc	['mechanical_turk_annotators']	['news_comments']	https://www.cis.upenn.edu/~ccb/data/AOC-dialectal-annotations.zip	corpus	manual	['msa', nan]	['msa', nan]	['msa', nan, 'eg']	['msa', 'gulf', 'nile_basin', 'levant']
arabic_multi_dialect_text_corpora	['word_level']	['web_mixed']	http://almeman.weebly.com/arabic-multi-dialect-text-corpora.html	corpus	manual	[nan]	[nan]	[nan, 'eg']	['levant', 'gulf', 'maghreb', 'nile_basin']
arap_tweet	['user_level']	['twitter']	https://www.aclweb.org/anthology/L18-1111/	corpus	manual	[nan]	[nan]	['tn', 'dz', 'sa', 'ae', 'lb, sy', 'ly', 'om', 'sd', 'kw', 'ye', 'qa', 'ps,jo', 'eg', 'ma', 'iq']	['maghreb', 'gulf', 'levant', 'nile_basin', 'gulf_aden', 'iraq']
ldc_ara_dialect_eng_para_2012_t09	['mechanical_turk_annotators']	['web_mixed']	https://catalog.ldc.upenn.edu/LDC2012T09	corpus	manual	[nan]	[nan]	['eg', nan]	['nile_basin', 'levant']
ldc_arb_gulf_cttr_2006_t15	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T15	corpus	original	[nan]	[nan]	['ae', 'sa', 'om']	['gulf']
ldc_arb_iraq_cttr_2006_t16	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T16	corpus	original	[nan]	['south_iraq', 'baghdad', 'north_iraq']	['iq']	['iraq']
ldc_arb_lev_cttr_2007_t01	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2007T01	corpus	original	[nan]	[nan]	['jo', 'ps', 'lb', 'sy']	['levant']
ldc_bab_arabic_2005_s08	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2005S08/	corpus	manual	[nan]	[nan]	[nan]	['levant']
ldc_bab_arabic_2005_s08	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2005S08/	corpus	manual	[nan]	[nan]	[nan]	['levant']
ldc_bolt_sms_chat_ara_src_transliteration_2017_t07	['user_level']	['sms']	https://catalog.ldc.upenn.edu/LDC2017T07	corpus	original	[nan]	[nan]	['eg']	['nile_basin']
ldc_callhome_ara_transcr_suppl_2002_t38	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2002T38	corpus	manual	[nan]	[nan]	['eg']	['nile_basin']
ldc_cts_lev_ara_td5_t_2006_t07	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T07	corpus	manual	[nan]	[nan]	[nan, 'lb', 'sy', 'jo', 'ps']	['levant']
ldc_cts_levarabic_td_2005_s14	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2005S14	corpus	manual	[nan]	[nan]	['ps', 'lb', 'jo', 'sy']	['levant']
ldc_la_cts_ann_2007_t04	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2007T04	corpus	manual	[nan]	[nan]	['jo', 'lb', 'ps', 'sy', 'iq', 'ye', nan]	['levant', 'iraq', 'gulf_aden']
madar_shared_task1	['manual_translation']	['travel_domain']	https://camel.abudhabi.nyu.edu/madar-shared-task-2019/	corpus	original	['rabat', 'msa', 'beirut', 'doha', 'cairo', 'tunis', 'damascus', 'sanaa', 'amman', 'jeddah', 'baghdad', 'aswan', 'khartoum', 'mosul', 'sfax', 'basra', 'fes', 'alexandria', 'tripoli', 'aleppo', 'jerusalem', 'salt', 'algiers', 'benghazi', 'riyadh', 'muscat']	['rabat_sale_kenitra', 'msa', 'beirut', 'ad_dawhah', 'cairo', 'tunis', 'damascus', 'sanaa', 'amman', 'makkah', 'baghdad', 'aswan', 'khartoum', 'nineveh', 'sfax', 'basra', 'fes_meknes', 'alexandria', 'north_lebanon', 'aleppo', 'west_bank', 'balqa', 'algiers', 'benghazi', 'riyadh', 'muscat']	['ma', 'msa', 'lb', 'qa', 'eg', 'tn', 'sy', 'ye', 'jo', 'sa', 'iq', 'sd', 'ps', 'dz', 'ly', 'om']	['maghreb', 'msa', 'levant', 'gulf', 'nile_basin', 'gulf_aden', 'iraq']
madar_shared_task2	['user_level']	['twitter']	https://camel.abudhabi.nyu.edu/madar-shared-task-2019/	corpus	original	['msa', 'muscat', 'riyadh', 'sfax', 'damascus', 'amman', 'jeddah', 'algiers', 'benghazi', 'cairo', 'baghdad', 'tripoli', 'sanaa', 'salt', 'aleppo', 'doha', 'aswan', 'khartoum', 'beirut', 'fes', 'jerusalem', 'basra', 'tunis', 'rabat', 'mosul', 'alexandria']	['msa', 'muscat', 'riyadh', 'sfax', 'damascus', 'amman', 'makkah', 'algiers', 'benghazi', 'cairo', 'baghdad', 'north_lebanon', 'sanaa', 'balqa', 'aleppo', 'ad_dawhah', 'aswan', 'khartoum', 'beirut', 'fes_meknes', 'west_bank', 'basra', 'tunis', 'rabat_sale_kenitra', 'nineveh', 'alexandria']	['msa', 'om', 'sa', 'tn', 'sy', 'jo', 'dz', 'ly', 'eg', 'iq', 'lb', 'ye', 'qa', 'sd', 'ma', 'ps']	['msa', 'gulf', 'maghreb', 'levant', 'nile_basin', 'iraq', 'gulf_aden']
madar_corpus6_extra	['manual_translation']	['travel_domain']	https://camel.abudhabi.nyu.edu/madar-shared-task-2019/	corpus	original	['beirut', 'doha', 'msa', 'cairo', 'tunis', 'rabat']	['beirut', 'ad_dawhah', 'msa', 'cairo', 'tunis', 'rabat_sale_kenitra']	['lb', 'qa', 'msa', 'eg', 'tn', 'ma']	['levant', 'gulf', 'msa', 'nile_basin', 'maghreb']
multi_dialect_multi_genre_informal_corpus	['mechanical_turk_annotators']	['news_comments']	https://github.com/ryancotterell/arabic_dialect_annotation	corpus	manual	[nan, 'msa']	[nan, 'msa']	['eg', 'iq', 'msa', nan]	['nile_basin', 'iraq', 'msa', 'levant', 'maghreb', 'gulf']
multi_dialect_multi_genre_informal_corpus	['mechanical_turk_annotators']	['twitter']	https://github.com/ryancotterell/arabic_dialect_annotation	corpus	manual	[nan]	[nan]	['eg', nan, 'iq']	['nile_basin', 'levant', 'iraq', 'maghreb', 'gulf']
habibi	['user_level']	['song_lyrics']	https://www.aclweb.org/anthology/2020.lrec-1.165/	corpus	manual	[nan]	[nan]	['eg', 'sa', 'iq', 'sd', 'kw', 'lb', 'ae', 'ma', 'sy', 'ps', 'tn', 'ye', 'bh', 'om', 'jo', 'dz', 'ly', 'qa']	['nile_basin', 'gulf', 'iraq', 'levant', 'maghreb', 'gulf_aden']
multi_dialect_parallel_corpus	['manual_translation']	['ldc_mixed']	https://www.aclweb.org/anthology/L14-1435/	corpus	manual	['msa', nan]	['msa', nan]	['msa', 'sy', 'ps', 'jo', 'eg', 'tn']	['msa', 'levant', 'nile_basin', 'maghreb']
nadi	['user_level']	['twitter']	https://sites.google.com/view/nadi-shared-task	corpus	original	[nan]	['alexandria', 'maysan', 'oriental', 'jabal_al_akhdar', 'fujairah', 'ismailia', 'baghdad', 'dakahlia', 'nouakchott', 'qena', 'marrakesh-safi', 'tabuk', 'asyut', 'karbala', 'capital', 'damascus', 'najran', 'djibouti', 'akkar', 'musandam', 'gaza', 'oran', 'banadir', 'al_suwayda', 'faiyum', 'aqaba', 'cairo', 'north_lebanon', 'al_anbar', 'port_said', 'monufia', 'sousse', 'beheira', 'ash_sharqiyyah', 'gharbia', 'ras_al_khaimah', 'minya', 'al_batinah', 'jahra', 'jijel', 'bechar', 'sohag', 'homs', 'najaf', 'south_lebanon', 'aswan', 'ibb', 'duhok', 'aleppo', 'muthanna', 'bordj_bou_arreridj', 'tripoli', 'dhamar', 'misrata', 'ariana', 'meknes_tafilalet', 'wasit', 'hail', 'jizan', 'al_quassim', 'muscat', 'butnan', 'beni_suef', 'dubai', 'suez', 'benghazi', 'red_sea', 'north_sinai', 'khartoum', 'south_sinai', 'mahdia', 'tanger_tetouan', 'abu_dhabi', 'dhofar', 'sulaymaniyah', 'basra', 'ad_dakhiliyah', 'khenchela', 'zarqa', 'erbil', 'al_madinah', 'kafr_el_sheikh', 'riyadh', 'hawalli', 'ouargla', 'al_hudaydah', 'kairouan', 'west_bank', 'al_rayyan', 'asir', 'souss_massa', 'nineveh', 'luxor', 'latakia', 'makkah', 'ash_sharqiyah', 'aden', 'bouira', 'umm_al_quwain', 'doha', nan]	['eg', 'iq', 'ma', 'ly', 'ae', 'mr', 'sa', 'bh', 'sy', 'dj', 'lb', 'om', 'ps', 'dz', 'so', 'jo', 'tn', 'kw', 'ye', 'sd', 'qa', nan]	['nile_basin', 'iraq', 'maghreb', 'gulf', 'levant', 'gulf_aden', nan]
padic	['manual_translation']	['speech_transcript']	https://hal.archives-ouvertes.fr/hal-01718858	corpus	manual	[nan, 'msa']	['annaba', nan, 'algiers', 'msa']	['dz', 'ps', 'ma', 'tn', 'sy', 'msa']	['maghreb', 'levant', nan, 'msa']
qadi	['user_level']	['twitter']	http://alt.qcri.org/resources/qadi/	corpus	original	[nan]	[nan]	['lb', 'jo', 'eg', 'iq', 'tn', 'kw', 'sd', 'ye', 'ma', 'bh', 'ps', 'om', 'qa', 'ly', 'ae', 'sa', 'dz', 'sy', 'msa']	['levant', 'nile_basin', 'iraq', 'maghreb', 'gulf', 'gulf_aden', 'msa']
youdacc	['user_level']	['youtube_comments']	https://www.aclweb.org/anthology/L14-1456/	corpus	original	[nan, 'msa']	[nan, 'msa']	['iq', nan, 'msa', 'eg']	['iraq', 'gulf', 'msa', 'levant', 'nile_basin']
suar	['speech_transcript', 'manual_search', 'informal_message', 'user_level', 'hashtag_level']	['youtube_transcript', 'blog', 'forum', 'whatsapp', 'instagram', 'twitter']	https://www.sciencedirect.com/science/article/pii/S187705091832163X	corpus	manual	[nan]	['gulf,najd', 'hijaz,najd', 'najd']	['sa']	['gulf']
curras	['manual_search']	['web_mixed']	https://link.springer.com/article/10.1007/s10579-016-9370-7#Tab1	corpus	original	[nan]	[nan]	['ps']	['levant']
gumar	['document_level']	['forum_novel']	https://camel.abudhabi.nyu.edu/gumar/?page=publications&lang=en	corpus	original	[nan]	[nan]	['gulf', 'sa', 'msa', 'kw', 'ae', 'qa', 'ye', 'bh', 'ma', 'gulf,mixed', 'om', 'ae,sa', 'eg', 'sa,msa', 'msa,levant', nan, 'ps', 'iq', 'sa,kw', 'kw,sa', 'gulf,sd,msa', 'sa,ae', 'gulf,lb', 'bh,sa', 'ae,sa,kw', 'sa,lb', 'sa,levant']	['gulf', 'msa', 'gulf_aden', 'maghreb', 'nile_basin', 'levant', 'iraq']
